author,creator,description,result,n,doppler_ratio,sampling_ratio,std
2019-10-10-1852,onandon.be Motion,vmax_10s,48.0,5,100.0,100.0,0.96
2019-10-10-1852,onandon.be Motion,vmax_500m,49.4,1,100.0,100.0,1.01
2019-10-10-1852,onandon.be Motion,vmax_1000m,48.8,1,100.0,100.0,1.14
2019-10-10-1852,onandon.be Motion,planning_ratio>12,85.0,1,,,
2019-10-10-1852,onandon.be Motion,Vmoy>12,29.0,1,,,
2019-10-10-1852,onandon.be Motion,vmax_jibe,26.0,1,56.0,56.0,5.67
2019-10-10-1852,onandon.be Motion,vmax_jibe,15.4,2,100.0,100.0,2.24
2019-10-10-1852,onandon.be Motion,vmax_jibe,14.4,3,100.0,100.0,5.84
2019-10-10-1852,onandon.be Motion,vmax_jibe,13.8,4,100.0,100.0,1.95
2019-10-10-1852,onandon.be Motion,vmax_jibe,0.0,5,73.0,73.0,1.72
2019-10-10-1852,onandon.be Motion,planning_distance>12,76.0,1,,,
2019-09-04-1205,onandon.be Motion,vmax_1s,29.4,1,100.0,100.0,
2019-09-04-1205,onandon.be Motion,vmax_10s,27.4,1,100.0,100.0,1.51
2019-09-04-1205,onandon.be Motion,vmax_10s,27.4,2,100.0,100.0,0.92
2019-09-04-1205,onandon.be Motion,vmax_10s,26.6,3,100.0,100.0,0.61
2019-09-04-1205,onandon.be Motion,vmax_10s,26.4,4,100.0,100.0,0.71
2019-09-04-1205,onandon.be Motion,vmax_10s,26.3,5,100.0,100.0,0.56
2019-09-04-1205,onandon.be Motion,vmax_500m,25.1,1,100.0,100.0,1.33
2019-09-04-1205,onandon.be Motion,vmax_1000m,22.4,1,100.0,100.0,2.58
2019-09-04-1205,onandon.be Motion,planning_ratio>12,89.0,1,,,
2019-09-04-1205,onandon.be Motion,Vmoy>12,19.3,1,,,
2019-09-04-1205,onandon.be Motion,vmax_jibe,16.6,1,100.0,100.0,1.65
2019-09-04-1205,onandon.be Motion,vmax_jibe,16.0,2,100.0,100.0,0.95
2019-09-04-1205,onandon.be Motion,vmax_jibe,15.4,3,100.0,100.0,1.3
2019-09-04-1205,onandon.be Motion,vmax_jibe,15.2,4,100.0,100.0,3.44
2019-09-04-1205,onandon.be Motion,vmax_jibe,15.1,5,100.0,100.0,2.89
2019-09-04-1205,onandon.be Motion,planning_distance>12,31.7,1,,,
2019-08-23-1345,onandon.be Motion,vmax_1s,28.0,1,100.0,100.0,
2019-08-23-1345,onandon.be Motion,vmax_10s,27.5,1,100.0,100.0,0.34
2019-08-23-1345,onandon.be Motion,vmax_10s,27.0,2,100.0,100.0,0.35
2019-08-23-1345,onandon.be Motion,vmax_10s,26.6,3,100.0,100.0,0.87
2019-08-23-1345,onandon.be Motion,vmax_10s,26.5,4,100.0,100.0,0.87
2019-08-23-1345,onandon.be Motion,vmax_10s,26.5,5,100.0,100.0,0.52
2019-08-23-1345,onandon.be Motion,vmax_500m,25.3,1,100.0,100.0,1.65
2019-08-23-1345,onandon.be Motion,vmax_1000m,22.7,1,100.0,100.0,3.35
2019-08-23-1345,onandon.be Motion,planning_ratio>12,86.0,1,,,
2019-08-23-1345,onandon.be Motion,Vmoy>12,18.9,1,,,
2019-08-23-1345,onandon.be Motion,vmax_jibe,15.8,1,100.0,100.0,3.31
2019-08-23-1345,onandon.be Motion,vmax_jibe,15.6,2,100.0,100.0,0.88
2019-08-23-1345,onandon.be Motion,vmax_jibe,15.2,3,100.0,100.0,1.45
2019-08-23-1345,onandon.be Motion,vmax_jibe,14.9,4,100.0,100.0,2.26
2019-08-23-1345,onandon.be Motion,vmax_jibe,14.5,5,100.0,100.0,2.54
2019-08-23-1345,onandon.be Motion,planning_distance>12,31.5,1,,,
2019-08-20-1214,onandon.be Motion,vmax_1s,26.4,1,100.0,100.0,
2019-08-20-1214,onandon.be Motion,vmax_10s,25.6,1,100.0,100.0,0.54
2019-08-20-1214,onandon.be Motion,vmax_10s,23.5,2,100.0,100.0,0.32
2019-08-20-1214,onandon.be Motion,vmax_10s,23.5,3,100.0,100.0,0.88
2019-08-20-1214,onandon.be Motion,vmax_10s,23.4,4,100.0,100.0,0.46
2019-08-20-1214,onandon.be Motion,vmax_10s,23.1,5,90.0,90.0,0.43
2019-08-20-1214,onandon.be Motion,vmax_500m,20.7,1,100.0,100.0,1.09
2019-08-20-1214,onandon.be Motion,vmax_1000m,19.9,1,100.0,100.0,3.35
2019-08-20-1214,onandon.be Motion,planning_ratio>12,82.0,1,,,
2019-08-20-1214,onandon.be Motion,Vmoy>12,18.5,1,,,
2019-08-20-1214,onandon.be Motion,vmax_jibe,12.5,1,100.0,100.0,2.66
2019-08-20-1214,onandon.be Motion,vmax_jibe,12.5,2,100.0,100.0,3.65
2019-08-20-1214,onandon.be Motion,vmax_jibe,12.5,3,100.0,100.0,2.26
2019-08-20-1214,onandon.be Motion,vmax_jibe,12.3,4,100.0,100.0,2.92
2019-08-20-1214,onandon.be Motion,vmax_jibe,11.7,5,100.0,100.0,3.47
2019-08-20-1214,onandon.be Motion,planning_distance>12,18.7,1,,,
2019-11-16-1139,onandon.be Motion,vmax_1s,24.6,1,100.0,100.0,
2019-11-16-1139,onandon.be Motion,vmax_10s,24.0,1,100.0,100.0,0.31
2019-11-16-1139,onandon.be Motion,vmax_10s,23.1,2,100.0,100.0,1.52
2019-11-16-1139,onandon.be Motion,vmax_10s,22.7,3,100.0,100.0,0.69
2019-11-16-1139,onandon.be Motion,vmax_10s,22.7,4,100.0,100.0,0.93
2019-11-16-1139,onandon.be Motion,vmax_10s,22.4,5,100.0,100.0,1.53
2019-11-16-1139,onandon.be Motion,vmax_500m,18.8,1,100.0,100.0,3.37
2019-11-16-1139,onandon.be Motion,vmax_1000m,17.2,1,100.0,100.0,2.93
2019-11-16-1139,onandon.be Motion,planning_ratio>12,74.0,1,,,
2019-11-16-1139,onandon.be Motion,Vmoy>12,16.6,1,,,
2019-11-16-1139,onandon.be Motion,vmax_jibe,16.5,1,100.0,100.0,1.24
2019-11-16-1139,onandon.be Motion,vmax_jibe,16.0,2,100.0,100.0,1.41
2019-11-16-1139,onandon.be Motion,vmax_jibe,14.8,3,95.0,95.0,1.57
2019-11-16-1139,onandon.be Motion,vmax_jibe,13.8,4,100.0,100.0,1.56
2019-11-16-1139,onandon.be Motion,vmax_jibe,13.5,5,100.0,100.0,1.22
2019-11-16-1139,onandon.be Motion,planning_distance>12,21.5,1,,,
2019-09-06-1726,onandon.be Motion,vmax_1s,27.6,1,100.0,100.0,
2019-09-06-1726,onandon.be Motion,vmax_10s,25.9,1,100.0,100.0,0.46
2019-09-06-1726,onandon.be Motion,vmax_10s,25.9,2,100.0,100.0,0.28
2019-09-06-1726,onandon.be Motion,vmax_10s,25.6,3,100.0,100.0,1.35
2019-09-06-1726,onandon.be Motion,vmax_10s,25.5,4,100.0,100.0,0.6
2019-09-06-1726,onandon.be Motion,vmax_10s,25.4,5,100.0,100.0,0.35
2019-09-06-1726,onandon.be Motion,vmax_500m,24.0,1,100.0,100.0,0.99
2019-09-06-1726,onandon.be Motion,vmax_1000m,21.7,1,100.0,100.0,3.57
2019-09-06-1726,onandon.be Motion,planning_ratio>12,85.0,1,,,
2019-09-06-1726,onandon.be Motion,Vmoy>12,19.8,1,,,
2019-09-06-1726,onandon.be Motion,vmax_jibe,15.3,1,100.0,100.0,1.58
2019-09-06-1726,onandon.be Motion,vmax_jibe,15.2,2,100.0,100.0,2.44
2019-09-06-1726,onandon.be Motion,vmax_jibe,14.7,3,100.0,100.0,2.28
2019-09-06-1726,onandon.be Motion,vmax_jibe,14.4,4,100.0,100.0,1.75
2019-09-06-1726,onandon.be Motion,vmax_jibe,14.4,5,100.0,100.0,1.4
2019-09-06-1726,onandon.be Motion,planning_distance>12,27.9,1,,,
2019-09-22-1254,onandon.be Motion,vmax_1s,27.4,1,100.0,100.0,
2019-09-22-1254,onandon.be Motion,vmax_10s,26.5,1,100.0,100.0,0.48
2019-09-22-1254,onandon.be Motion,vmax_10s,26.3,2,100.0,100.0,1.01
2019-09-22-1254,onandon.be Motion,vmax_10s,26.2,3,100.0,100.0,0.38
2019-09-22-1254,onandon.be Motion,vmax_10s,26.2,4,100.0,100.0,0.52
2019-09-22-1254,onandon.be Motion,vmax_10s,26.1,5,100.0,100.0,0.46
2019-09-22-1254,onandon.be Motion,vmax_500m,25.7,1,100.0,100.0,0.84
2019-09-22-1254,onandon.be Motion,vmax_1000m,25.1,1,100.0,100.0,1.09
2019-09-22-1254,onandon.be Motion,planning_ratio>12,82.0,1,,,
2019-09-22-1254,onandon.be Motion,Vmoy>12,18.6,1,,,
2019-09-22-1254,onandon.be Motion,vmax_jibe,16.2,1,100.0,100.0,1.87
2019-09-22-1254,onandon.be Motion,vmax_jibe,15.6,2,100.0,100.0,1.72
2019-09-22-1254,onandon.be Motion,vmax_jibe,15.2,3,100.0,100.0,1.5
2019-09-22-1254,onandon.be Motion,vmax_jibe,14.6,4,95.0,95.0,1.66
2019-09-22-1254,onandon.be Motion,vmax_jibe,14.1,5,100.0,100.0,1.6
2019-09-22-1254,onandon.be Motion,planning_distance>12,21.1,1,,,
