time,speed,course,dist,speed V10S,speed_V500m,jibe
2019-10-06 09:58:39+00:00,23.94,18.87112226955668,12.470157013550889,,4.0,
2019-10-06 09:58:40+00:00,24.045,20.04928579492318,18.893839046268788,,4.0,
2019-10-06 09:58:41+00:00,24.15,21.22744932028968,25.31752107898669,,4.0,
2019-10-06 09:58:42+00:00,24.49,23.408141415609464,12.736811153123671,,4.0,
2019-10-06 09:58:43+00:00,24.57,24.607987809091355,12.856170979604887,5.0,4.0,
2019-10-06 09:58:44+00:00,24.76,24.60803321179708,12.856175644344296,5.0,4.0,
2019-10-06 09:58:45+00:00,24.94,23.016673794355142,12.941441273185829,5.0,4.0,
2019-10-06 09:58:46+00:00,25.1,21.09515277427289,13.244027141322132,5.0,4.0,
2019-10-06 09:58:47+00:00,25.35,18.231343078909617,13.12673252347986,5.0,4.0,
2019-10-06 09:58:48+00:00,25.54,14.455208789169944,13.220254905897606,5.0,4.0,
2019-10-06 09:58:49+00:00,25.6,14.7000945283433,13.004784642228064,5.0,4.0,
2019-10-06 09:58:50+00:00,25.42,14.95322640070566,12.789559913785045,5.0,4.0,
2019-10-06 09:58:51+00:00,24.92,14.89208793763089,12.555546357058638,5.0,4.0,
2019-10-06 09:58:52+00:00,24.61,15.023801051945725,12.448000596020519,5.0,4.0,
2019-10-06 09:58:53+00:00,24.49,14.243391117809551,12.518657640506731,,4.0,
2019-10-06 09:58:54+00:00,24.47,15.485972754319675,12.359902161596803,,4.0,
2019-10-06 09:58:55+00:00,24.14,17.734343326655676,12.037963863832118,,4.0,
2019-10-06 09:58:56+00:00,23.83,18.40008358614881,11.849045624501796,,4.0,
2019-10-06 09:58:57+00:00,23.65,15.864373508986432,11.804193277102037,,4.0,
2019-10-06 09:58:58+00:00,23.5,13.089589742285511,11.657483506180695,,4.0,
2019-10-06 09:58:59+00:00,23.33,11.918514663388976,11.71853265507134,,4.0,
2019-10-06 09:59:00+00:00,23.25,13.789773400331853,11.691576911200194,,4.0,
2019-10-06 09:59:01+00:00,23.13,17.019793682077648,11.525400478463288,,4.0,
2019-10-06 09:59:02+00:00,23.05,17.88372475670542,11.463193440463174,,4.0,
2019-10-06 09:59:03+00:00,22.94,16.859358168722906,11.631894075443654,,4.0,
2019-10-06 09:59:04+00:00,22.94,15.466611382978954,11.55022964915388,,4.0,
2019-10-06 09:59:05+00:00,22.94,14.832233378754438,11.745970092849733,,4.0,
2019-10-06 09:59:06+00:00,22.94,14.694520263997276,11.853616177652645,,4.0,
2019-10-06 09:59:07+00:00,22.94,13.288385893080886,12.124494134475764,,4.0,
2019-10-06 09:59:08+00:00,22.96,11.081772979460425,12.59124204824342,,4.0,
2019-10-06 09:59:09+00:00,23.2,13.47227811793141,12.591631714243118,,4.0,
2019-10-06 09:59:10+00:00,23.38,15.813560916309996,12.379715064854864,,4.0,
2019-10-06 09:59:11+00:00,23.52,14.426559323854008,12.069113257391086,,4.0,
2019-10-06 09:59:12+00:00,23.52,12.833756833028303,12.216367420779765,,4.0,
2019-10-06 09:59:13+00:00,23.52,12.71883473278234,12.32493208470715,,4.0,
2019-10-06 09:59:14+00:00,23.52,13.83582005240288,12.267117081290014,,4.0,
