,result,description,n,doppler_ratio,sampling_ratio,std
0,60.0,planning_ratio>15,1,,,
1,32.977,planning_distance>15,1,,,
2,19.42,Vmoy>15,1,,,
3,25.14,vmax_2s,1,100.0,100.0,0.33
4,25.02,vmax_10s,1,100.0,100.0,0.18
5,24.14,vmax_10s,2,100.0,100.0,0.41
6,23.92,vmax_10s,3,100.0,100.0,0.33
7,23.53,vmax_10s,4,100.0,100.0,0.27
8,23.49,vmax_10s,5,100.0,100.0,0.41
9,23.61309523809524,vmax_500m,1,100.0,100.0,1.09
10,15.41,vmax_jibe,1,100.0,100.0,1.34
11,15.2,vmax_jibe,2,100.0,100.0,1.77
